Barrio;Comuna;Valor m2 (USD)
Agronomía;Comuna 15;$1.613
Almagro;Comuna 5;$1.698
Balvanera;Comuna 3;$1.359
Barracas;Comuna 4;$1.596
Belgrano;Comuna 13;$2.344
Boedo;Comuna 5;$1.500
Caballito;Comuna 6;$1.982
Chacarita;Comuna 15;$1.724
Colegiales;Comuna 13;$2.277
Coghlan;Comuna 12;$2.296
Constitución;Comuna 1;$1.483
Flores;Comuna 7;$1.458
Floresta;Comuna 10;$1.388
La Boca;Comuna 4;$1.232
Liniers;Comuna 9;$1.502
Mataderos;Comuna 9;$1.414
Monte Castro;Comuna 10;$1.447
Monserrat;Comuna 1;$1.877
Nueva Pompeya;Comuna 4;$1.081
Nuñez;Comuna 13;$2.343
Palermo;Comuna 14;$2.691
Parque Avellaneda;Comuna 9;$1.374
Parque Chacabuco;Comuna 7;$1.346
Parque Chas;Comuna 15;$1.525
Parque Patricios;Comuna 4;$1.476
Paternal;Comuna 15;$1.503
Puerto Madero;Comuna 1;$4.792
Recoleta;Comuna 2;$2.453
Retiro;Comuna 1;$1.750
Saavedra;Comuna 12;$2.271
San Cristobal;Comuna 3;$1.602
San Nicolas;Comuna 1;$1.647
San Telmo;Comuna 1;$1.721
Versalles;Comuna 10;$1.354
Villa Crespo;Comuna 15;$1.924
Villa Devoto;Comuna 11;$2.111
Villa Lugano;Comuna 8;$1.085
Villa Luro;Comuna 10;$1.499
Villa Ortuzar;Comuna 15;$1.698
Villa Pueyrredon;Comuna 12;$1.526
Villa Riachuelo;Comuna 8;$950
Villa Santa Rita;Comuna 11;$1.559
Villa Soldati;Comuna 8;$899
Villa Urquiza;Comuna 12;$2.249
Villa Real;Comuna 10;$1.447
