neighbourhood,precio_promedio,disponibilidad_promedio,dias_alquilado,rentabilidad
Agronomia,29137.8,222.25,142.75,4159420.9499999997
Almagro,67240.26055776892,208.82933914306463,156.17066085693537,10500955.927499298
Balvanera,74954.679357022,206.84126984126985,158.15873015873015,11854736.906561384
Barracas,185670.14705882352,242.45454545454547,122.54545454545453,22753032.566844918
Belgrano,63183.5298382599,207.5272819989801,157.4727180010199,9949682.176529327
Boca,204822.14782608696,194.86923076923077,170.13076923076923,34846549.5651505
Boedo,41666.73333333333,227.61654135338347,137.38345864661653,5724319.935839598
Caballito,37180.56051873199,205.2819216182048,159.7180783817952,5938407.679209916
Chacarita,33824.020547945205,202.31726283048212,162.68273716951788,5502584.244817742
Coghlan,49266.71681415929,200.09848484848484,164.90151515151516,8124156.249195495
Colegiales,70710.15514993481,213.8448883666275,151.1551116333725,10688201.395301487
Constitucion,33463.38169642857,223.25661914460287,141.74338085539713,4743212.856506401
Flores,32330.891719745225,211.2748538011696,153.7251461988304,4970071.05635639
Floresta,39343.0,208.95833333333334,156.04166666666666,6139147.291666666
Liniers,34596.086956521736,189.21428571428572,175.78571428571428,6081497.857142856
Mataderos,32125.216216216217,196.6315789473684,168.3684210526316,5408871.9302987205
Monserrat,77077.66707768188,219.4312606959498,145.5687393040502,11220098.824995447
Monte Castro,29660.416666666668,210.14285714285714,154.85714285714286,4593127.3809523815
Nueva Pompeya,20026.85714285714,200.5,164.5,3294417.9999999995
Nuñez,42190.69736842105,208.33289817232375,156.66710182767625,6609894.280799094
Palermo,65733.21424024734,213.56910226122173,151.43089773877827,9954039.6436561
Parque Avellaneda,53629.31578947369,239.42857142857142,125.57142857142858,6734309.796992483
Parque Chacabuco,32862.59420289855,199.5625,165.4375,5436705.428442029
Parque Chas,37480.415384615386,218.32857142857142,146.67142857142858,5497306.067912089
Parque Patricios,30830.862068965518,209.02061855670104,155.97938144329896,4808978.79488091
Paternal,29111.791666666668,202.07407407407408,162.92592592592592,4743065.612654321
Puerto Madero,101112.13746630728,201.51122194513715,163.48877805486285,16530699.800881892
Recoleta,52143.330240064555,208.89804287045666,156.10195712954334,8139675.901726178
Retiro,62475.230964467,224.214074512123,140.785925487877,8795633.211401356
Saavedra,39457.36974789916,197.64661654135338,167.35338345864662,6603324.329689771
San Cristobal,57940.561320754714,214.744769874477,150.255230125523,8705872.374851977
San Nicolas,72482.01636363636,209.99829351535837,155.00170648464163,11234836.225811355
San Telmo,187292.60860215055,205.4054848188051,159.5945151811949,29890873.06688151
Velez Sarsfield,33091.833333333336,160.91304347826087,204.08695652173913,6753611.550724638
Versalles,44173.857142857145,93.66666666666667,271.3333333333333,11985839.904761905
Villa Crespo,127048.18073316284,209.83425852498019,155.16574147501981,19713525.16651354
Villa Del Parque,36558.00847457627,235.4,129.6,4737917.898305085
Villa Devoto,37928.4,215.15384615384616,149.84615384615384,5683424.861538461
Villa Gral. Mitre,30264.72972972973,188.3095238095238,176.6904761904762,5347489.507722008
Villa Lugano,27550.714285714286,292.57142857142856,72.42857142857144,1995458.8775510208
Villa Luro,1231679.0625,211.55555555555554,153.44444444444446,188994309.4791667
Villa Ortuzar,90632.15254237287,216.7348484848485,148.2651515151515,13437589.828839237
Villa Pueyrredon,28783.71212121212,223.2608695652174,141.7391304347826,4079778.3267457173
Villa Real,21094.0,85.85714285714286,279.1428571428571,5888239.428571428
Villa Riachuelo,17964.5,89.5,275.5,4949219.75
Villa Santa Rita,35933.58823529412,195.3846153846154,169.6153846153846,6094889.389140272
Villa Soldati,,0.0,365.0,
Villa Urquiza,33668.223076923074,213.57013574660633,151.42986425339367,5098374.450191437
