neighbourhood,precio_promedio,disponibilidad_promedio,latitud,longitud,precio_normalizado,color_precio
Agronomia,29138,222,-34.59428811206364,-58.48998204478437,0.15557442082725997,#28d700
Almagro,67240,209,-34.60508523892763,-58.421932938168226,0.3590096800200755,#5ca300
Balvanera,74955,207,-34.606547482220094,-58.401372691989145,0.40020182281238487,#669900
Barracas,185670,242,-34.63332308260994,-58.374162896480044,0.9913344332142685,#fd0200
Belgrano,63184,208,-34.55939070764487,-58.45507498106652,0.3373537718975082,#56a900
Boedo,41667,228,-34.62679822829574,-58.41861046924794,0.22246960644551586,#39c600
Caballito,37181,205,-34.61637723412038,-58.44064823652881,0.19851783035137457,#33cc00
Chacarita,33824,202,-34.58557501606674,-58.4487386685423,0.18059404248957517,#2ed100
Coghlan,49267,200,-34.5617189956005,-58.47286127019531,0.2630477380361252,#43bc00
Colegiales,70710,214,-34.57432788231028,-58.448588819138976,0.3775368006278932,#609f00
Constitucion,33463,223,-34.62143022506429,-58.381916902582,0.1786665812390212,#2ed100
Flores,32331,211,-34.62655400003186,-58.46270246513083,0.17262257532315675,#2cd300
Floresta,39343,209,-34.62884577971031,-58.48366465628118,0.21006124094333478,#36c900
Liniers,34596,189,-34.64191859972421,-58.51857421818835,0.18471592638272652,#2fd000
Mataderos,32125,197,-34.653533019393294,-58.50138866340037,0.17152269438793763,#2cd300
Monserrat,77078,219,-34.612738908969895,-58.37902185963643,0.41153700351855116,#699600
Monte Castro,29660,210,-34.61908215531759,-58.50655949487686,0.15836149776019393,#28d700
Nueva Pompeya,20027,200,-34.6458935056269,-58.419220177966,0.10692871596909655,#1be400
Nuñez,42191,208,-34.54863731088576,-58.46396601830597,0.22526736183413154,#39c600
Palermo,65733,214,-34.582351798083735,-58.4267312882836,0.3509634636638849,#59a600
Parque Avellaneda,53629,239,-34.64241869182618,-58.47654022016152,0.28633744987799864,#49b600
Parque Chacabuco,32863,200,-34.632609184154106,-58.43801083777629,0.17546304453449943,#2dd200
Parque Chas,37480,218,-34.58464592449456,-58.47653514576394,0.20011425947579461,#33cc00
Parque Patricios,30831,209,-34.63349966165032,-58.40280062553082,0.16461373356185227,#2ad500
Paternal,29112,202,-34.60100905741126,-58.46549782813341,0.15543560090339736,#28d700
Puerto Madero,101112,202,-34.613275058810494,-58.36248947640694,0.5398600054460124,#8a7500
Recoleta,52143,209,-34.591649977923886,-58.399528316232235,0.2784033573064663,#47b800
Retiro,62475,224,-34.594689745107324,-58.38020784597275,0.3335682593583316,#55aa00
Saavedra,39457,198,-34.549519550018225,-58.47959345614153,0.21066991291719392,#36c900
San Cristobal,57941,215,-34.622436991557535,-58.40179534919789,0.30936020032782857,#4fb000
San Nicolas,72482,210,-34.603323762699254,-58.38225120719112,0.3869979123619142,#639c00
San Telmo,187293,205,-34.620044655086836,-58.372242343863384,1.0,#ff0000
Velez Sarsfield,33092,161,-34.63246223169505,-58.491039427085404,0.17668572771005858,#2dd200
Versalles,44174,94,-34.62973673585712,-58.5214944273289,0.23585505064257606,#3cc300
Villa Crespo,127048,210,-34.597279449288095,-58.43889836266183,0.6783382187268078,#ad5200
Villa Del Parque,36558,235,-34.60152436491407,-58.48839530813059,0.1951914914065128,#32cd00
Villa Devoto,37928,215,-34.59969328998668,-58.51250588927337,0.20250623354850422,#34cb00
Villa Gral. Mitre,30265,188,-34.608091210017044,-58.468119905475795,0.16159173060392007,#29d600
Villa Lugano,27551,293,-34.670280245693185,-58.47434623002008,0.14710106624379982,#26d900
Villa Ortuzar,90632,217,-34.581184165646185,-58.468587229164385,0.48390489767369843,#7b8400
Villa Pueyrredon,28784,223,-34.585686050320874,-58.502209425170506,0.1536843341715921,#27d800
Villa Real,21094,86,-34.6202350104844,-58.52682647749755,0.11262567207530447,#1de200
Villa Riachuelo,17964,90,-34.68904409398237,-58.47775570919017,0.09591388893338246,#18e700
Villa Santa Rita,35934,195,-34.61368781819522,-58.4812812565115,0.19185981323381013,#31ce00
Villa Soldati,0,0,-34.65719,-58.44229,0.0,#00ff00
Villa Urquiza,33668,214,-34.57281265928966,-58.48523102199355,0.17976112294639948,#2ed100
