neighbourhood,precio_promedio,disponibilidad_promedio,publicaciones,latitud,longitud,precio_normalizado,color_precio,publicaciones_normalizado,color_publicaciones
Agronomia,29138,222,40,-34.59428811206364,-58.48998204478437,0.15557442082725997,#feb82c,0.003290861530672517,#f0f921
Almagro,67240,209,1377,-34.60508523892763,-58.421932938168226,0.3590096800200755,#e97158,0.11610834528731753,#fdc827
Balvanera,74955,207,1323,-34.606547482220094,-58.401372691989145,0.40020182281238487,#e16462,0.11155176778330943,#fdca26
Barracas,185670,242,286,-34.63332308260994,-58.374162896480044,0.9913344332142685,#130789,0.024048603493376085,#f3ee27
Belgrano,63184,208,1961,-34.55939070764487,-58.45507498106652,0.3373537718975082,#ec7754,0.16538688718251623,#fdb42f
Boedo,41667,228,133,-34.62679822829574,-58.41861046924794,0.22246960644551586,#fb9f3a,0.011138300565353134,#f1f525
Caballito,37181,205,791,-34.61637723412038,-58.44064823652881,0.19851783035137457,#fca835,0.06666104126234074,#f9dc24
Chacarita,33824,202,643,-34.58557501606674,-58.4487386685423,0.18059404248957517,#fdae32,0.054172643658762974,#f7e225
Coghlan,49267,200,132,-34.5617189956005,-58.47286127019531,0.2630477380361252,#f79044,0.011053919500464096,#f1f525
Colegiales,70710,214,851,-34.57432788231028,-58.448588819138976,0.3775368006278932,#e56b5d,0.07172390515568307,#fada24
Constitucion,33463,223,491,-34.62143022506429,-58.381916902582,0.1786665812390212,#fdaf31,0.04134672179562906,#f6e826
Flores,32331,211,171,-34.62655400003186,-58.46270246513083,0.17262257532315675,#fdb130,0.014344781031136613,#f1f426
Floresta,39343,209,48,-34.62884577971031,-58.48366465628118,0.21006124094333478,#fca338,0.003965910049784829,#f0f724
Liniers,34596,189,28,-34.64191859972421,-58.51857421818835,0.18471592638272652,#fdac33,0.0022782887520040505,#f0f921
Mataderos,32125,197,38,-34.653533019393294,-58.50138866340037,0.17152269438793763,#fdb22f,0.0031220994008944393,#f0f921
Monserrat,77078,219,1753,-34.612738908969895,-58.37902185963643,0.41153700351855116,#de6164,0.14783562568559616,#febb2b
Monte Castro,29660,210,14,-34.61908215531759,-58.50655949487686,0.15836149776019393,#feb72d,0.0010969538435575057,#f0f921
Nueva Pompeya,20027,200,16,-34.6458935056269,-58.419220177966,0.10692871596909655,#fdcb26,0.0012657159733355835,#f0f921
Nuñez,42191,208,766,-34.54863731088576,-58.46396601830597,0.22526736183413154,#fa9e3b,0.06455151464011476,#f9dd25
Palermo,65733,214,11852,-34.582351798083735,-58.4267312882836,0.3509634636638849,#ea7457,1.0,#0d0887
Parque Avellaneda,53629,239,21,-34.64241869182618,-58.47654022016152,0.28633744987799864,#f48849,0.001687621297780778,#f0f921
Parque Chacabuco,32863,200,80,-34.632609184154106,-58.43801083777629,0.17546304453449943,#fdb130,0.0066661041262340735,#f0f724
Parque Chas,37480,218,70,-34.58464592449456,-58.47653514576394,0.20011425947579461,#fca636,0.005822293477343684,#f0f724
Parque Patricios,30831,209,97,-34.63349966165032,-58.40280062553082,0.16461373356185227,#fdb42f,0.008100582229347734,#f1f525
