neighbourhood,precio_promedio,disponibilidad_promedio,latitud,longitud,precio_normalizado,color_precio
Agronomia,29138,222,-34.59428811206364,-58.48998204478437,0.023657137939349458,#06f900
Almagro,67240,209,-34.60508523892763,-58.421932938168226,0.05459214616795448,#0ef100
Balvanera,74955,207,-34.606547482220094,-58.401372691989145,0.060855953539842765,#10ef00
Barracas,185670,242,-34.63332308260994,-58.374162896480044,0.1507454458507452,#26d900
Belgrano,63184,208,-34.55939070764487,-58.45507498106652,0.05129908036103563,#0df200
Boca,204822,195,-34.63295013205273,-58.36390274278207,0.16629495185027918,#2ad500
Boedo,41667,228,-34.62679822829574,-58.41861046924794,0.03382943120731944,#09f600
Caballito,37181,205,-34.61637723412038,-58.44064823652881,0.030187248463276552,#08f700
Chacarita,33824,202,-34.58557501606674,-58.4487386685423,0.027461700654147714,#07f800
Coghlan,49267,200,-34.5617189956005,-58.47286127019531,0.0399998700960234,#0af500
Colegiales,70710,214,-34.57432788231028,-58.448588819138976,0.0574094386605601,#0ff000
Constitucion,33463,223,-34.62143022506429,-58.381916902582,0.027168604806934275,#07f800
Flores,32331,211,-34.62655400003186,-58.46270246513083,0.026249534172458896,#07f800
Floresta,39343,209,-34.62884577971031,-58.48366465628118,0.031942575947142074,#08f700
Liniers,34596,189,-34.64191859972421,-58.51857421818835,0.02808848734126343,#07f800
Mataderos,32125,197,-34.653533019393294,-58.50138866340037,0.026082282802580868,#07f800
Monserrat,77078,219,-34.612738908969895,-58.37902185963643,0.062579616929411,#10ef00
Monte Castro,29660,210,-34.61908215531759,-58.50655949487686,0.024080949663020965,#06f900
Nueva Pompeya,20027,200,-34.6458935056269,-58.419220177966,0.016259918371588702,#04fb00
Nuñez,42191,208,-34.54863731088576,-58.46396601830597,0.034254866730698504,#09f600
Palermo,65733,214,-34.582351798083735,-58.4267312882836,0.05336861308831278,#0ef100
Parque Avellaneda,53629,239,-34.64241869182618,-58.47654022016152,0.043541377258197955,#0bf400
Parque Chacabuco,32863,200,-34.632609184154106,-58.43801083777629,0.02668146489466817,#07f800
Parque Chas,37480,218,-34.58464592449456,-58.47653514576394,0.030430006519555824,#08f700
Parque Patricios,30831,209,-34.63349966165032,-58.40280062553082,0.02503168439179364,#06f900
Paternal,29112,202,-34.60100905741126,-58.46549782813341,0.02363602854315126,#06f900
Puerto Madero,101112,202,-34.613275058810494,-58.36248947640694,0.08209281801508347,#15ea00
Recoleta,52143,209,-34.591649977923886,-58.399528316232235,0.042334894075485574,#0bf400
Retiro,62475,224,-34.594689745107324,-58.38020784597275,0.05072344336470785,#0df200
Saavedra,39457,198,-34.549519550018225,-58.47959345614153,0.03203513253047263,#08f700
San Cristobal,57941,215,-34.622436991557535,-58.40179534919789,0.047042289427683674,#0cf300
San Nicolas,72482,210,-34.603323762699254,-58.38225120719112,0.058848125201452654,#0ff000
San Telmo,187293,205,-34.620044655086836,-58.372242343863384,0.152063159313425,#27d800
Velez Sarsfield,33092,161,-34.63246223169505,-58.491039427085404,0.02686738996118307,#07f800
Versalles,44174,94,-34.62973673585712,-58.5214944273289,0.035864864140737966,#09f600
Villa Crespo,127048,210,-34.597279449288095,-58.43889836266183,0.10315025262263951,#1ae500
Villa Del Parque,36558,235,-34.60152436491407,-58.48839530813059,0.029681434854373582,#08f700
Villa Devoto,37928,215,-34.59969328998668,-58.51250588927337,0.03079373765404785,#08f700
Villa Gral. Mitre,30265,188,-34.608091210017044,-58.468119905475795,0.024572149074555953,#06f900
Villa Lugano,27551,293,-34.670280245693185,-58.47434623002008,0.022368652871405617,#06f900
Villa Luro,1231679,212,-34.63683899737578,-58.50228674643842,1.0,#ff0000
Villa Ortuzar,90632,217,-34.581184165646185,-58.468587229164385,0.07358410754750223,#13ec00
Villa Pueyrredon,28784,223,-34.585686050320874,-58.502209425170506,0.023369725391112456,#06f900
Villa Real,21094,86,-34.6202350104844,-58.52682647749755,0.017126215515568585,#04fb00
Villa Riachuelo,17964,90,-34.68904409398237,-58.47775570919017,0.014584968973247087,#04fb00
Villa Santa Rita,35934,195,-34.61368781819522,-58.4812812565115,0.029174809345616837,#07f800
Villa Soldati,0,0,-34.65719,-58.44229,0.0,#00ff00
Villa Urquiza,33668,214,-34.57281265928966,-58.48523102199355,0.027335044276958525,#07f800
