neighbourhood,room_type,precio_promedio,disponibilidad_promedio,lat_prom,lon_prom
Agronomia,Entire home/apt,32856,221,-34.594620316316906,-58.49040583926188
Agronomia,Private room,11609,228,-34.59272200629824,-58.48798415653327
Almagro,Entire home/apt,74053,209,-34.604898306705294,-58.42204520346717
Almagro,Hotel room,0,333,-34.60179,-58.4294
Almagro,Private room,17939,203,-34.60599927906815,-58.4213251892948
Almagro,Shared room,21868,229,-34.61317048976524,-58.41757167923952
Balvanera,Entire home/apt,66158,210,-34.60605753998445,-58.401369855357906
Balvanera,Hotel room,0,362,-34.60388,-58.40995
Balvanera,Private room,113639,193,-34.60801101208211,-58.401269711365885
Balvanera,Shared room,14120,220,-34.609389092702095,-58.40238713719804
Barracas,Entire home/apt,188408,243,-34.63276910853278,-58.373996481957285
Barracas,Private room,22350,231,-34.63523915969884,-58.374515814728
Barracas,Shared room,1899324,363,-34.63333378105424,-58.37697179974807
Belgrano,Entire home/apt,51604,208,-34.55941931175791,-58.455105281440254
Belgrano,Private room,278702,194,-34.55908207730713,-58.45478598434164
Belgrano,Shared room,11887,236,-34.557968242120495,-58.45315776524354
Boca,Entire home/apt,228913,220,-34.63255279274587,-58.36407971142167
Boca,Private room,28272,117,-34.63429137024764,-58.36356233638115
Boca,Shared room,41117,56,-34.63488043491559,-58.36243273674938
Boedo,Entire home/apt,46092,233,-34.62676490122478,-58.41905251526857
Boedo,Private room,16590,204,-34.626957618635096,-58.41649633610577
Caballito,Entire home/apt,37522,202,-34.61619832556432,-58.440739031738524
Caballito,Private room,26953,224,-34.61763468287517,-58.44016848880382
Caballito,Shared room,112235,244,-34.617369799969694,-58.438322899126895
Chacarita,Entire home/apt,35927,202,-34.58559965687443,-58.448478370231925
Chacarita,Private room,19187,206,-34.585403564471825,-58.45077358027579
Chacarita,Shared room,46566,45,-34.58522719470434,-58.443798690330425
Coghlan,Entire home/apt,47848,203,-34.56169761898502,-58.47274102326427
Coghlan,Private room,62049,175,-34.56203028555129,-58.47355953400623
Coghlan,Shared room,94550,87,-34.56086,-58.47961
Colegiales,Entire home/apt,73190,215,-34.57436512032026,-58.4483955222595
Colegiales,Private room,31933,206,-34.57383086021585,-58.451359258320075
Colegiales,Shared room,16748,149,-34.573240533333326,-58.450868066666665
Constitucion,Entire home/apt,36541,229,-34.62126319408134,-58.381741889548074
Constitucion,Private room,19928,198,-34.622037322389524,-58.38272522564699
Constitucion,Shared room,15206,208,-34.62348313946221,-58.38228120247868
Flores,Entire home/apt,34217,204,-34.62605962947215,-58.463340246938685
Flores,Private room,20164,251,-34.62859954235987,-58.45990769637017
Flores,Shared room,47275,364,-34.64963908587575,-58.43666077144056
Floresta,Entire home/apt,34098,190,-34.62887162428042,-58.48342837223601
Floresta,Hotel room,77500,365,-34.62717,-58.48494
Floresta,Private room,47290,239,-34.628902363274776,-58.48408370599626
Liniers,Entire home/apt,35983,191,-34.641895419186305,-58.51819523372192
Liniers,Private room,34989,134,-34.64342903774823,-58.51944943341742
Liniers,Shared room,7067,365,-34.63641,-58.52379
Mataderos,Entire home/apt,36232,216,-34.65407858497671,-58.50032750418068
Mataderos,Private room,19350,144,-34.65200543575976,-58.50435990921551
Monserrat,Entire home/apt,37340,219,-34.61254664930976,-58.37866336449701
Monserrat,Hotel room,103053,208,-34.613778351233094,-58.382670145907646
Monserrat,Private room,277773,212,-34.61386506389102,-58.38117573511031
Monserrat,Shared room,541522,292,-34.613758970628155,-58.38005215077661
Monte Castro,Entire home/apt,29660,226,-34.61897078264971,-58.506184071405855
Monte Castro,Private room,0,0,-34.62053,-58.51144
Nueva Pompeya,Entire home/apt,26436,169,-34.646492241087245,-58.41911365891557
Nueva Pompeya,Private room,11886,232,-34.6447067358316,-58.42064725166006
Nueva Pompeya,Shared room,9455,364,-34.64584,-58.41315
Nuñez,Entire home/apt,43009,208,-34.54859058203293,-58.463861646607185
Nuñez,Private room,27917,210,-34.54923733543815,-58.46542783891507
Nuñez,Shared room,27656,220,-34.551395,-58.46897
Palermo,Entire home/apt,65059,214,-34.58224157818351,-58.426780936564654
